acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9307,0.9233,0.9231,0.9284,0.9339,0.9259,0.9259,0.9259,0.9337,0.9388,1.1394,1.1528,1.1562,1.1584,1.2847,1.1902,1.1792,1.1662,1.2402,1.1655,1.1833,0.0429,0.929,0.0049,0.1516,0.0828,0.8871,0.1165,0.6605,0.1451,0.8871,0.1165,25,uniform,minkowski_p_3,majority
0.9307,0.9233,0.9231,0.931,0.9339,0.9259,0.9259,0.9259,0.9363,0.9388,1.2553,1.2766,1.2073,1.2101,1.1754,1.2621,1.3087,1.2278,1.1835,1.2152,1.2322,0.0403,0.9295,0.0052,0.164,0.0907,0.8941,0.113,0.6468,0.1639,0.8941,0.113,25,uniform,minkowski_p_4,majority
0.928,0.9206,0.9231,0.9257,0.9286,0.9259,0.9233,0.9233,0.9257,0.9255,2.3533,1.195,1.2187,1.1867,1.2028,1.3285,1.2403,1.2266,1.2044,1.3208,1.3477,0.3385,0.925,0.0023,0.0604,0.0463,0.9179,0.0978,0.7016,0.1964,0.9179,0.0978,50,uniform,minkowski_p_1,majority
0.9307,0.9233,0.9231,0.9257,0.9286,0.9206,0.9206,0.9233,0.9284,0.9255,1.1959,1.3482,1.2161,1.1801,1.337,0.9939,1.1607,1.088,1.2794,1.1455,1.1945,0.1034,0.925,0.0032,0.0662,0.0505,0.7661,0.196,0.6064,0.2095,0.7661,0.196,50,uniform,minkowski_p_3,majority
0.9307,0.9233,0.9231,0.9257,0.9259,0.9206,0.9206,0.9233,0.9257,0.9255,0.9695,1.2762,1.2224,1.2455,1.1347,1.252,1.2559,1.2817,1.2243,1.3589,1.2221,0.0996,0.9244,0.0028,0.0596,0.0427,0.734,0.1871,0.5794,0.2248,0.734,0.1871,50,uniform,minkowski_p_4,majority
0.9253,0.9153,0.9231,0.939,0.9233,0.8942,0.9074,0.918,0.9257,0.9441,2.0297,0.9445,1.0593,1.1794,0.9008,0.8899,1.1278,1.3875,1.2192,1.0599,1.1798,0.3187,0.9215,0.0136,0.3813,0.0821,0.6774,0.0675,0.599,0.071,0.6774,0.0675,1,uniform,minkowski_p_1,inverse_distance
0.912,0.8968,0.8992,0.9098,0.9074,0.8942,0.8995,0.9101,0.9231,0.9388,0.9253,1.0368,1.0158,0.8096,0.9189,1.0412,0.7972,0.7959,0.9619,0.7992,0.9102,0.0978,0.9091,0.0129,0.3225,0.0936,0.6263,0.0608,0.567,0.0826,0.6263,0.0608,1,uniform,minkowski_p_3,inverse_distance
0.912,0.9021,0.8992,0.9151,0.9048,0.8942,0.8995,0.9101,0.9257,0.9415,0.9811,0.7924,0.7934,0.8143,0.8206,0.8971,0.7502,0.7875,0.778,0.8283,0.8243,0.064,0.9104,0.0135,0.3427,0.0957,0.6222,0.0818,0.5705,0.1033,0.6222,0.0818,1,uniform,minkowski_p_4,inverse_distance
0.9307,0.9233,0.9019,0.9151,0.9312,0.918,0.9021,0.9259,0.9151,0.9468,2.0599,0.7172,0.7378,0.7099,0.6941,0.7732,0.7058,0.7886,0.6946,0.9358,0.8817,0.3988,0.921,0.013,0.3357,0.0893,0.6816,0.0883,0.5481,0.0767,0.6816,0.0883,3,uniform,minkowski_p_1,inverse_distance
0.9253,0.9259,0.931,0.9125,0.9286,0.9286,0.9233,0.9206,0.9284,0.9468,0.7287,0.7349,0.6628,0.7749,0.8835,0.737,0.7599,0.9088,0.7908,0.7424,0.7724,0.0699,0.9271,0.0083,0.3587,0.078,0.7021,0.087,0.5537,0.0656,0.7021,0.087,3,uniform,minkowski_p_3,inverse_distance
