acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9891,0.9891,0.99,0.9891,0.9863,0.9882,0.9936,0.9864,0.9918,0.9882,3.2889,3.3695,3.2934,3.3078,3.2939,3.3086,3.3396,3.3481,3.3796,3.4113,3.3341,0.0402,0.9892,0.0021,0.988,0.0024,0.9894,0.002,0.9893,0.0021,0.9894,0.002,16,info_gain,minkowski_p_1,majority
0.9909,0.9873,0.9881,0.9855,0.9863,0.99,0.9918,0.9836,0.9891,0.9864,9.7904,9.4704,9.4493,9.4226,9.5118,9.7395,10.5522,9.6937,9.4515,10.076,9.7157,0.3413,0.9879,0.0024,0.9866,0.0027,0.9882,0.0023,0.988,0.0024,0.9882,0.0023,16,info_gain,minkowski_p_3,majority
0.99,0.9873,0.9881,0.9855,0.9845,0.9882,0.9918,0.9827,0.9891,0.9837,9.4218,9.532,9.4529,9.4639,9.4552,9.5407,9.4198,9.4612,9.4982,9.6679,9.4914,0.0705,0.9871,0.0028,0.9856,0.0031,0.9874,0.0027,0.9872,0.0027,0.9874,0.0027,16,info_gain,minkowski_p_4,majority
0.9863,0.9882,0.9863,0.9864,0.9854,0.9872,0.9918,0.9818,0.9909,0.9855,3.2223,3.236,3.2357,3.2127,3.2335,3.2307,3.2345,3.2174,3.2834,3.3267,3.2433,0.0333,0.987,0.0027,0.9855,0.003,0.9873,0.0026,0.9872,0.0027,0.9873,0.0026,21,info_gain,minkowski_p_1,majority
0.9872,0.9873,0.9854,0.9845,0.9863,0.9872,0.9918,0.9845,0.9891,0.9837,9.789,9.3676,9.4844,9.5999,9.4699,9.5633,10.2001,9.4544,9.4081,10.0326,9.6369,0.267,0.9867,0.0023,0.9852,0.0026,0.987,0.0023,0.9869,0.0023,0.987,0.0023,21,info_gain,minkowski_p_3,majority
0.9882,0.9873,0.9863,0.9836,0.9836,0.9872,0.9918,0.9818,0.9882,0.9809,9.3771,9.4213,9.3594,9.4487,9.3652,9.5005,9.4499,9.3711,9.4262,9.6999,9.4419,0.0963,0.9859,0.0032,0.9843,0.0035,0.9862,0.003,0.9861,0.0031,0.9862,0.003,21,info_gain,minkowski_p_4,majority
0.9845,0.9864,0.9854,0.9855,0.9854,0.9836,0.99,0.9791,0.9872,0.9837,3.243,3.3844,3.2853,3.3045,3.274,3.265,3.3322,3.3321,3.3027,3.4303,3.3153,0.054,0.9851,0.0027,0.9834,0.003,0.9854,0.0026,0.9853,0.0027,0.9854,0.0026,26,info_gain,minkowski_p_1,majority
0.9863,0.9836,0.9854,0.9827,0.9836,0.9845,0.9909,0.98,0.9863,0.98,9.7812,9.404,9.4344,9.5501,9.4317,9.5197,10.2269,9.5754,9.5285,10.0567,9.6509,0.2678,0.9844,0.0031,0.9826,0.0034,0.9847,0.0029,0.9845,0.003,0.9847,0.0029,26,info_gain,minkowski_p_3,majority
0.9854,0.9836,0.9854,0.9827,0.9818,0.9845,0.9909,0.98,0.9836,0.9791,9.472,9.4264,9.4102,9.3977,9.4608,9.4969,9.5923,9.6302,9.5115,9.7523,9.515,0.1064,0.9837,0.0031,0.9819,0.0035,0.9841,0.003,0.9839,0.0031,0.9841,0.003,26,info_gain,minkowski_p_4,majority
0.9927,0.9891,0.9982,0.9918,0.9973,0.9982,0.9973,0.99,0.9964,0.9955,3.2761,3.2134,3.2164,3.2304,3.1925,3.272,3.2219,3.2391,3.2303,3.3227,3.2415,0.0363,0.9946,0.0033,0.994,0.0036,0.9947,0.0032,0.9947,0.0032,0.9947,0.0032,1,info_gain,minkowski_p_1,inverse_distance
0.9918,0.9945,0.9954,0.9927,0.9964,0.9927,0.9955,0.9918,0.9954,0.9936,9.7193,9.3358,9.3453,9.3798,9.3489,9.4311,10.1816,9.4618,9.3606,9.9572,9.5521,0.2843,0.994,0.0016,0.9933,0.0018,0.9941,0.0015,0.994,0.0016,0.9941,0.0015,1,info_gain,minkowski_p_3,inverse_distance
